#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
272,Ludicolo,Water,480,80,70,70,90,100,70
272,Ludicolo,Grass,480,80,70,70,90,100,70
273,Seedot,Grass,220,40,40,50,30,30,30
274,Nuzleaf,Grass,340,70,70,40,60,40,60
274,Nuzleaf,Dark,340,70,70,40,60,40,60
275,Shiftry,Grass,480,90,100,60,90,60,80
275,Shiftry,Dark,480,90,100,60,90,60,80
276,Taillow,Normal,270,40,55,30,30,30,85
276,Taillow,Flying,270,40,55,30,30,30,85
277,Swellow,Normal,455,60,85,60,75,50,125
277,Swellow,Flying,455,60,85,60,75,50,125
278,Wingull,Water,270,40,30,30,55,30,85
278,Wingull,Flying,270,40,30,30,55,30,85
279,Pelipper,Water,440,60,50,100,95,70,65
279,Pelipper,Flying,440,60,50,100,95,70,65
280,Ralts,Psychic,198,28,25,25,45,35,40
280,Ralts,Fairy,198,28,25,25,45,35,40
281,Kirlia,Psychic,278,38,35,35,65,55,50
281,Kirlia,Fairy,278,38,35,35,65,55,50
282,Gardevoir,Psychic,518,68,65,65,125,115,80
282,Gardevoir,Fairy,518,68,65,65,125,115,80
282,GardevoirMega Gardevoir,Psychic,618,68,85,65,165,135,100
282,GardevoirMega Gardevoir,Fairy,618,68,85,65,165,135,100
283,Surskit,Bug,269,40,30,32,50,52,65
283,Surskit,Water,269,40,30,32,50,52,65
284,Masquerain,Bug,454,70,60,62,100,82,80
284,Masquerain,Flying,454,70,60,62,100,82,80
285,Shroomish,Grass,295,60,40,60,40,60,35
286,Breloom,Grass,460,60,130,80,60,60,70
286,Breloom,Fighting,460,60,130,80,60,60,70
287,Slakoth,Normal,280,60,60,60,35,35,30
288,Vigoroth,Normal,440,80,80,80,55,55,90
289,Slaking,Normal,670,150,160,100,95,65,100
290,Nincada,Bug,266,31,45,90,30,30,40
290,Nincada,Ground,266,31,45,90,30,30,40
291,Ninjask,Bug,456,61,90,45,50,50,160
291,Ninjask,Flying,456,61,90,45,50,50,160
292,Shedinja,Bug,236,1,90,45,30,30,40
292,Shedinja,Ghost,236,1,90,45,30,30,40
293,Whismur,Normal,240,64,51,23,51,23,28
294,Loudred,Normal,360,84,71,43,71,43,48
295,Exploud,Normal,490,104,91,63,91,73,68
296,Makuhita,Fighting,237,72,60,30,20,30,25
297,Hariyama,Fighting,474,144,120,60,40,60,50
298,Azurill,Normal,190,50,20,40,20,40,20
298,Azurill,Fairy,190,50,20,40,20,40,20
299,Nosepass,Rock,375,30,45,135,45,90,30
300,Skitty,Normal,260,50,45,45,35,35,50
301,Delcatty,Normal,400,70,65,65,55,55,90
302,Sableye,Dark,380,50,75,75,65,65,50
302,Sableye,Ghost,380,50,75,75,65,65,50
302,SableyeMega Sableye,Dark,480,50,85,125,85,115,20
302,SableyeMega Sableye,Ghost,480,50,85,125,85,115,20
303,Mawile,Steel,380,50,85,85,55,55,50
303,Mawile,Fairy,380,50,85,85,55,55,50
303,MawileMega Mawile,Steel,480,50,105,125,55,95,50
303,MawileMega Mawile,Fairy,480,50,105,125,55,95,50
304,Aron,Steel,330,50,70,100,40,40,30
304,Aron,Rock,330,50,70,100,40,40,30
305,Lairon,Steel,430,60,90,140,50,50,40
305,Lairon,Rock,430,60,90,140,50,50,40
306,Aggron,Steel,530,70,110,180,60,60,50
306,Aggron,Rock,530,70,110,180,60,60,50
306,AggronMega Aggron,Steel,630,70,140,230,60,80,50
307,Meditite,Fighting,280,30,40,55,40,55,60
307,Meditite,Psychic,280,30,40,55,40,55,60
308,Medicham,Fighting,410,60,60,75,60,75,80
308,Medicham,Psychic,410,60,60,75,60,75,80
308,MedichamMega Medicham,Fighting,510,60,100,85,80,85,100
308,MedichamMega Medicham,Psychic,510,60,100,85,80,85,100
309,Electrike,Electric,295,40,45,40,65,40,65
310,Manectric,Electric,475,70,75,60,105,60,105
310,ManectricMega Manectric,Electric,575,70,75,80,135,80,135
311,Plusle,Electric,405,60,50,40,85,75,95
312,Minun,Electric,405,60,40,50,75,85,95
313,Volbeat,Bug,430,65,73,75,47,85,85
314,Illumise,Bug,430,65,47,75,73,85,85
315,Roselia,Grass,400,50,60,45,100,80,65
315,Roselia,Poison,400,50,60,45,100,80,65
316,Gulpin,Poison,302,70,43,53,43,53,40
317,Swalot,Poison,467,100,73,83,73,83,55
318,Carvanha,Water,305,45,90,20,65,20,65
318,Carvanha,Dark,305,45,90,20,65,20,65
319,Sharpedo,Water,460,70,120,40,95,40,95
319,Sharpedo,Dark,460,70,120,40,95,40,95
319,SharpedoMega Sharpedo,Water,560,70,140,70,110,65,105
319,SharpedoMega Sharpedo,Dark,560,70,140,70,110,65,105
320,Wailmer,Water,400,130,70,35,70,35,60
321,Wailord,Water,500,170,90,45,90,45,60
322,Numel,Fire,305,60,60,40,65,45,35
322,Numel,Ground,305,60,60,40,65,45,35
323,Camerupt,Fire,460,70,100,70,105,75,40
323,Camerupt,Ground,460,70,100,70,105,75,40
323,CameruptMega Camerupt,Fire,560,70,120,100,145,105,20
323,CameruptMega Camerupt,Ground,560,70,120,100,145,105,20
324,Torkoal,Fire,470,70,85,140,85,70,20
325,Spoink,Psychic,330,60,25,35,70,80,60
326,Grumpig,Psychic,470,80,45,65,90,110,80
327,Spinda,Normal,360,60,60,60,60,60,60
328,Trapinch,Ground,290,45,100,45,45,45,10
329,Vibrava,Ground,340,50,70,50,50,50,70
329,Vibrava,Dragon,340,50,70,50,50,50,70
330,Flygon,Ground,520,80,100,80,80,80,100
330,Flygon,Dragon,520,80,100,80,80,80,100
331,Cacnea,Grass,335,50,85,40,85,40,35
332,Cacturne,Grass,475,70,115,60,115,60,55
332,Cacturne,Dark,475,70,115,60,115,60,55
333,Swablu,Normal,310,45,40,60,40,75,50
333,Swablu,Flying,310,45,40,60,40,75,50
334,Altaria,Dragon,490,75,70,90,70,105,80
334,Altaria,Flying,490,75,70,90,70,105,80
334,AltariaMega Altaria,Dragon,590,75,110,110,110,105,80
334,AltariaMega Altaria,Fairy,590,75,110,110,110,105,80
335,Zangoose,Normal,458,73,115,60,60,60,90
336,Seviper,Poison,458,73,100,60,100,60,65
337,Lunatone,Rock,460,90,55,65,95,85,70
337,Lunatone,Psychic,460,90,55,65,95,85,70
338,Solrock,Rock,460,90,95,85,55,65,70
338,Solrock,Psychic,460,90,95,85,55,65,70
339,Barboach,Water,288,50,48,43,46,41,60
339,Barboach,Ground,288,50,48,43,46,41,60
340,Whiscash,Water,468,110,78,73,76,71,60
340,Whiscash,Ground,468,110,78,73,76,71,60
341,Corphish,Water,308,43,80,65,50,35,35
342,Crawdaunt,Water,468,63,120,85,90,55,55
342,Crawdaunt,Dark,468,63,120,85,90,55,55
343,Baltoy,Ground,300,40,40,55,40,70,55
343,Baltoy,Psychic,300,40,40,55,40,70,55
344,Claydol,Ground,500,60,70,105,70,120,75
344,Claydol,Psychic,500,60,70,105,70,120,75
345,Lileep,Rock,355,66,41,77,61,87,23
345,Lileep,Grass,355,66,41,77,61,87,23
346,Cradily,Rock,495,86,81,97,81,107,43
346,Cradily,Grass,495,86,81,97,81,107,43
347,Anorith,Rock,355,45,95,50,40,50,75
347,Anorith,Bug,355,45,95,50,40,50,75
348,Armaldo,Rock,495,75,125,100,70,80,45
348,Armaldo,Bug,495,75,125,100,70,80,45
349,Feebas,Water,200,20,15,20,10,55,80
350,Milotic,Water,540,95,60,79,100,125,81
351,Castform,Normal,420,70,70,70,70,70,70
351,CastformSunny Form,Fire,420,70,70,70,70,70,70
351,CastformRainy Form,Water,420,70,70,70,70,70,70
351,CastformSnowy Form,Ice,420,70,70,70,70,70,70
352,Kecleon,Normal,440,60,90,70,60,120,40
353,Shuppet,Ghost,295,44,75,35,63,33,45
354,Banette,Ghost,455,64,115,65,83,63,65
354,BanetteMega Banette,Ghost,555,64,165,75,93,83,75
355,Duskull,Ghost,295,20,40,90,30,90,25
356,Dusclops,Ghost,455,40,70,130,60,130,25
357,Tropius,Grass,460,99,68,83,72,87,51
357,Tropius,Flying,460,99,68,83,72,87,51
358,Chimecho,Psychic,455,75,50,80,95,90,65
359,Absol,Dark,465,65,130,60,75,60,75
359,AbsolMega Absol,Dark,565,65,150,60,115,60,115
360,Wynaut,Psychic,260,95,23,48,23,48,23
361,Snorunt,Ice,300,50,50,50,50,50,50
362,Glalie,Ice,480,80,80,80,80,80,80
362,GlalieMega Glalie,Ice,580,80,120,80,120,80,100
363,Spheal,Ice,290,70,40,50,55,50,25
363,Spheal,Water,290,70,40,50,55,50,25
364,Sealeo,Ice,410,90,60,70,75,70,45
364,Sealeo,Water,410,90,60,70,75,70,45
365,Walrein,Ice,530,110,80,90,95,90,65
365,Walrein,Water,530,110,80,90,95,90,65
366,Clamperl,Water,345,35,64,85,74,55,32
367,Huntail,Water,485,55,104,105,94,75,52
368,Gorebyss,Water,485,55,84,105,114,75,52
369,Relicanth,Water,485,100,90,130,45,65,55
369,Relicanth,Rock,485,100,90,130,45,65,55
370,Luvdisc,Water,330,43,30,55,40,65,97
371,Bagon,Dragon,300,45,75,60,40,30,50
372,Shelgon,Dragon,420,65,95,100,60,50,50
373,Salamence,Dragon,600,95,135,80,110,80,100
373,Salamence,Flying,600,95,135,80,110,80,100
373,SalamenceMega Salamence,Dragon,700,95,145,130,120,90,120
373,SalamenceMega Salamence,Flying,700,95,145,130,120,90,120
374,Beldum,Steel,300,40,55,80,35,60,30
374,Beldum,Psychic,300,40,55,80,35,60,30
375,Metang,Steel,420,60,75,100,55,80,50
375,Metang,Psychic,420,60,75,100,55,80,50
376,Metagross,Steel,600,80,135,130,95,90,70
376,Metagross,Psychic,600,80,135,130,95,90,70
376,MetagrossMega Metagross,Steel,700,80,145,150,105,110,110
376,MetagrossMega Metagross,Psychic,700,80,145,150,105,110,110
377,Regirock,Rock,580,80,100,200,50,100,50
378,Regice,Ice,580,80,50,100,100,200,50
379,Registeel,Steel,580,80,75,150,75,150,50
380,Latias,Dragon,600,80,80,90,110,130,110
380,Latias,Psychic,600,80,80,90,110,130,110
380,LatiasMega Latias,Dragon,700,80,100,120,140,150,110
380,LatiasMega Latias,Psychic,700,80,100,120,140,150,110
381,Latios,Dragon,600,80,90,80,130,110,110
381,Latios,Psychic,600,80,90,80,130,110,110
381,LatiosMega Latios,Dragon,700,80,130,100,160,120,110
381,LatiosMega Latios,Psychic,700,80,130,100,160,120,110
382,Kyogre,Water,670,100,100,90,150,140,90
382,KyogrePrimal Kyogre,Water,770,100,150,90,180,160,90
383,Groudon,Ground,670,100,150,140,100,90,90
383,GroudonPrimal Groudon,Ground,770,100,180,160,150,90,90
383,GroudonPrimal Groudon,Fire,770,100,180,160,150,90,90
384,Rayquaza,Dragon,680,105,150,90,150,90,95
384,Rayquaza,Flying,680,105,150,90,150,90,95
384,RayquazaMega Rayquaza,Dragon,780,105,180,100,180,100,115
384,RayquazaMega Rayquaza,Flying,780,105,180,100,180,100,115
385,Jirachi,Steel,600,100,100,100,100,100,100
385,Jirachi,Psychic,600,100,100,100,100,100,100
386,DeoxysNormal Forme,Psychic,600,50,150,50,150,50,150
386,DeoxysAttack Forme,Psychic,600,50,180,20,180,20,150
386,DeoxysDefense Forme,Psychic,600,50,70,160,70,160,90
386,DeoxysSpeed Forme,Psychic,600,50,95,90,95,90,180
387,Turtwig,Grass,318,55,68,64,45,55,31
388,Grotle,Grass,405,75,89,85,55,65,36
389,Torterra,Grass,525,95,109,105,75,85,56
389,Torterra,Ground,525,95,109,105,75,85,56
390,Chimchar,Fire,309,44,58,44,58,44,61
391,Monferno,Fire,405,64,78,52,78,52,81
391,Monferno,Fighting,405,64,78,52,78,52,81
392,Infernape,Fire,534,76,104,71,104,71,108
392,Infernape,Fighting,534,76,104,71,104,71,108
393,Piplup,Water,314,53,51,53,61,56,40
394,Prinplup,Water,405,64,66,68,81,76,50
395,Empoleon,Water,530,84,86,88,111,101,60
395,Empoleon,Steel,530,84,86,88,111,101,60
396,Starly,Normal,245,40,55,30,30,30,60
396,Starly,Flying,245,40,55,30,30,30,60
397,Staravia,Normal,340,55,75,50,40,40,80
397,Staravia,Flying,340,55,75,50,40,40,80
398,Staraptor,Normal,485,85,120,70,50,60,100
398,Staraptor,Flying,485,85,120,70,50,60,100
399,Bidoof,Normal,250,59,45,40,35,40,31
400,Bibarel,Normal,410,79,85,60,55,60,71
400,Bibarel,Water,410,79,85,60,55,60,71
401,Kricketot,Bug,194,37,25,41,25,41,25
402,Kricketune,Bug,384,77,85,51,55,51,65
403,Shinx,Electric,263,45,65,34,40,34,45
404,Luxio,Electric,363,60,85,49,60,49,60
405,Luxray,Electric,523,80,120,79,95,79,70
406,Budew,Grass,280,40,30,35,50,70,55
406,Budew,Poison,280,40,30,35,50,70,55
407,Roserade,Grass,515,60,70,65,125,105,90
407,Roserade,Poison,515,60,70,65,125,105,90
408,Cranidos,Rock,350,67,125,40,30,30,58
409,Rampardos,Rock,495,97,165,60,65,50,58
410,Shieldon,Rock,350,30,42,118,42,88,30
410,Shieldon,Steel,350,30,42,118,42,88,30
411,Bastiodon,Rock,495,60,52,168,47,138,30
411,Bastiodon,Steel,495,60,52,168,47,138,30
412,Burmy,Bug,224,40,29,45,29,45,36
413,WormadamPlant Cloak,Bug,424,60,59,85,79,105,36
413,WormadamPlant Cloak,Grass,424,60,59,85,79,105,36
413,WormadamSandy Cloak,Bug,424,60,79,105,59,85,36
413,WormadamSandy Cloak,Ground,424,60,79,105,59,85,36
413,WormadamTrash Cloak,Bug,424,60,69,95,69,95,36
413,WormadamTrash Cloak,Steel,424,60,69,95,69,95,36
414,Mothim,Bug,424,70,94,50,94,50,66
414,Mothim,Flying,424,70,94,50,94,50,66
415,Combee,Bug,244,30,30,42,30,42,70
415,Combee,Flying,244,30,30,42,30,42,70
416,Vespiquen,Bug,474,70,80,102,80,102,40
416,Vespiquen,Flying,474,70,80,102,80,102,40
417,Pachirisu,Electric,405,60,45,70,45,90,95
418,Buizel,Water,330,55,65,35,60,30,85
419,Floatzel,Water,495,85,105,55,85,50,115
420,Cherubi,Grass,275,45,35,45,62,53,35
421,Cherrim,Grass,450,70,60,70,87,78,85
422,Shellos,Water,325,76,48,48,57,62,34
423,Gastrodon,Water,475,111,83,68,92,82,39
423,Gastrodon,Ground,475,111,83,68,92,82,39
424,Ambipom,Normal,482,75,100,66,60,66,115
425,Drifloon,Ghost,348,90,50,34,60,44,70
425,Drifloon,Flying,348,90,50,34,60,44,70
426,Drifblim,Ghost,498,150,80,44,90,54,80
426,Drifblim,Flying,498,150,80,44,90,54,80
427,Buneary,Normal,350,55,66,44,44,56,85
428,Lopunny,Normal,480,65,76,84,54,96,105
428,LopunnyMega Lopunny,Normal,580,65,136,94,54,96,135
428,LopunnyMega Lopunny,Fighting,580,65,136,94,54,96,135
429,Mismagius,Ghost,495,60,60,60,105,105,105
430,Honchkrow,Dark,505,100,125,52,105,52,71
430,Honchkrow,Flying,505,100,125,52,105,52,71
431,Glameow,Normal,310,49,55,42,42,37,85
432,Purugly,Normal,452,71,82,64,64,59,112
433,Chingling,Psychic,285,45,30,50,65,50,45
434,Stunky,Poison,329,63,63,47,41,41,74
434,Stunky,Dark,329,63,63,47,41,41,74
435,Skuntank,Poison,479,103,93,67,71,61,84
435,Skuntank,Dark,479,103,93,67,71,61,84
436,Bronzor,Steel,300,57,24,86,24,86,23
436,Bronzor,Psychic,300,57,24,86,24,86,23
437,Bronzong,Steel,500,67,89,116,79,116,33
437,Bronzong,Psychic,500,67,89,116,79,116,33
438,Bonsly,Rock,290,50,80,95,10,45,10
439,Mime Jr.,Psychic,310,20,25,45,70,90,60
439,Mime Jr.,Fairy,310,20,25,45,70,90,60
440,Happiny,Normal,220,100,5,5,15,65,30
441,Chatot,Normal,411,76,65,45,92,42,91
441,Chatot,Flying,411,76,65,45,92,42,91
442,Spiritomb,Ghost,485,50,92,108,92,108,35
442,Spiritomb,Dark,485,50,92,108,92,108,35
443,Gible,Dragon,300,58,70,45,40,45,42
443,Gible,Ground,300,58,70,45,40,45,42
444,Gabite,Dragon,410,68,90,65,50,55,82
444,Gabite,Ground,410,68,90,65,50,55,82
445,Garchomp,Dragon,600,108,130,95,80,85,102
445,Garchomp,Ground,600,108,130,95,80,85,102
445,GarchompMega Garchomp,Dragon,700,108,170,115,120,95,92
445,GarchompMega Garchomp,Ground,700,108,170,115,120,95,92
446,Munchlax,Normal,390,135,85,40,40,85,5
447,Riolu,Fighting,285,40,70,40,35,40,60
448,Lucario,Fighting,525,70,110,70,115,70,90
448,Lucario,Steel,525,70,110,70,115,70,90
448,LucarioMega Lucario,Fighting,625,70,145,88,140,70,112
448,LucarioMega Lucario,Steel,625,70,145,88,140,70,112
449,Hippopotas,Ground,330,68,72,78,38,42,32
450,Hippowdon,Ground,525,108,112,118,68,72,47
451,Skorupi,Poison,330,40,50,90,30,55,65
451,Skorupi,Bug,330,40,50,90,30,55,65
452,Drapion,Poison,500,70,90,110,60,75,95
452,Drapion,Dark,500,70,90,110,60,75,95
453,Croagunk,Poison,300,48,61,40,61,40,50
453,Croagunk,Fighting,300,48,61,40,61,40,50
454,Toxicroak,Poison,490,83,106,65,86,65,85
454,Toxicroak,Fighting,490,83,106,65,86,65,85
455,Carnivine,Grass,454,74,100,72,90,72,46
456,Finneon,Water,330,49,49,56,49,61,66
457,Lumineon,Water,460,69,69,76,69,86,91
458,Mantyke,Water,345,45,20,50,60,120,50
458,Mantyke,Flying,345,45,20,50,60,120,50
459,Snover,Grass,334,60,62,50,62,60,40
459,Snover,Ice,334,60,62,50,62,60,40
460,Abomasnow,Grass,494,90,92,75,92,85,60
460,Abomasnow,Ice,494,90,92,75,92,85,60
460,AbomasnowMega Abomasnow,Grass,594,90,132,105,132,105,30
460,AbomasnowMega Abomasnow,Ice,594,90,132,105,132,105,30
461,Weavile,Dark,510,70,120,65,45,85,125
461,Weavile,Ice,510,70,120,65,45,85,125
462,Magnezone,Electric,535,70,70,115,130,90,60
462,Magnezone,Steel,535,70,70,115,130,90,60
463,Lickilicky,Normal,515,110,85,95,80,95,50
464,Rhyperior,Ground,535,115,140,130,55,55,40
464,Rhyperior,Rock,535,115,140,130,55,55,40
465,Tangrowth,Grass,535,100,100,125,110,50,50
466,Electivire,Electric,540,75,123,67,95,85,95
467,Magmortar,Fire,540,75,95,67,125,95,83
468,Togekiss,Fairy,545,85,50,95,120,115,80
468,Togekiss,Flying,545,85,50,95,120,115,80
469,Yanmega,Bug,515,86,76,86,116,56,95
469,Yanmega,Flying,515,86,76,86,116,56,95
470,Leafeon,Grass,525,65,110,130,60,65,95
471,Glaceon,Ice,525,65,60,110,130,95,65
472,Gliscor,Ground,510,75,95,125,45,75,95
472,Gliscor,Flying,510,75,95,125,45,75,95
473,Mamoswine,Ice,530,110,130,80,70,60,80
473,Mamoswine,Ground,530,110,130,80,70,60,80
474,Porygon-Z,Normal,535,85,80,70,135,75,90
475,Gallade,Psychic,518,68,125,65,65,115,80
475,Gallade,Fighting,518,68,125,65,65,115,80
475,GalladeMega Gallade,Psychic,618,68,165,95,65,115,110
475,GalladeMega Gallade,Fighting,618,68,165,95,65,115,110
476,Probopass,Rock,525,60,55,145,75,150,40
476,Probopass,Steel,525,60,55,145,75,150,40
477,Dusknoir,Ghost,525,45,100,135,65,135,45
478,Froslass,Ice,480,70,80,70,80,70,110
478,Froslass,Ghost,480,70,80,70,80,70,110
479,Rotom,Electric,440,50,50,77,95,77,91
479,Rotom,Ghost,440,50,50,77,95,77,91
479,RotomHeat Rotom,Electric,520,50,65,107,105,107,86
479,RotomHeat Rotom,Fire,520,50,65,107,105,107,86
479,RotomWash Rotom,Electric,520,50,65,107,105,107,86
479,RotomWash Rotom,Water,520,50,65,107,105,107,86
479,RotomFrost Rotom,Electric,520,50,65,107,105,107,86
479,RotomFrost Rotom,Ice,520,50,65,107,105,107,86
479,RotomFan Rotom,Electric,520,50,65,107,105,107,86
479,RotomFan Rotom,Flying,520,50,65,107,105,107,86
479,RotomMow Rotom,Electric,520,50,65,107,105,107,86
479,RotomMow Rotom,Grass,520,50,65,107,105,107,86
480,Uxie,Psychic,580,75,75,130,75,130,95
481,Mesprit,Psychic,580,80,105,105,105,105,80
482,Azelf,Psychic,580,75,125,70,125,70,115
483,Dialga,Steel,680,100,120,120,150,100,90
483,Dialga,Dragon,680,100,120,120,150,100,90
484,Palkia,Water,680,90,120,100,150,120,100
484,Palkia,Dragon,680,90,120,100,150,120,100
485,Heatran,Fire,600,91,90,106,130,106,77
485,Heatran,Steel,600,91,90,106,130,106,77
486,Regigigas,Normal,670,110,160,110,80,110,100
487,GiratinaAltered Forme,Ghost,680,150,100,120,100,120,90
487,GiratinaAltered Forme,Dragon,680,150,100,120,100,120,90
487,GiratinaOrigin Forme,Ghost,680,150,120,100,120,100,90
487,GiratinaOrigin Forme,Dragon,680,150,120,100,120,100,90
488,Cresselia,Psychic,600,120,70,120,75,130,85
489,Phione,Water,480,80,80,80,80,80,80
490,Manaphy,Water,600,100,100,100,100,100,100
491,Darkrai,Dark,600,70,90,90,135,90,125
492,ShayminLand Forme,Grass,600,100,100,100,100,100,100
492,ShayminSky Forme,Grass,600,100,103,75,120,75,127
492,ShayminSky Forme,Flying,600,100,103,75,120,75,127
493,Arceus,Normal,720,120,120,120,120,120,120
494,Victini,Psychic,600,100,100,100,100,100,100
494,Victini,Fire,600,100,100,100,100,100,100
495,Snivy,Grass,308,45,45,55,45,55,63
496,Servine,Grass,413,60,60,75,60,75,83
497,Serperior,Grass,528,75,75,95,75,95,113
498,Tepig,Fire,308,65,63,45,45,45,45
499,Pignite,Fire,418,90,93,55,70,55,55
499,Pignite,Fighting,418,90,93,55,70,55,55
500,Emboar,Fire,528,110,123,65,100,65,65
500,Emboar,Fighting,528,110,123,65,100,65,65
501,Oshawott,Water,308,55,55,45,63,45,45
502,Dewott,Water,413,75,75,60,83,60,60
503,Samurott,Water,528,95,100,85,108,70,70
504,Patrat,Normal,255,45,55,39,35,39,42
505,Watchog,Normal,420,60,85,69,60,69,77
506,Lillipup,Normal,275,45,60,45,25,45,55
507,Herdier,Normal,370,65,80,65,35,65,60
508,Stoutland,Normal,500,85,110,90,45,90,80
509,Purrloin,Dark,281,41,50,37,50,37,66
510,Liepard,Dark,446,64,88,50,88,50,106
511,Pansage,Grass,316,50,53,48,53,48,64
512,Simisage,Grass,498,75,98,63,98,63,101
513,Pansear,Fire,316,50,53,48,53,48,64
514,Simisear,Fire,498,75,98,63,98,63,101
515,Panpour,Water,316,50,53,48,53,48,64
516,Simipour,Water,498,75,98,63,98,63,101
517,Munna,Psychic,292,76,25,45,67,55,24
518,Musharna,Psychic,487,116,55,85,107,95,29
519,Pidove,Normal,264,50,55,50,36,30,43
519,Pidove,Flying,264,50,55,50,36,30,43
520,Tranquill,Normal,358,62,77,62,50,42,65
520,Tranquill,Flying,358,62,77,62,50,42,65
521,Unfezant,Normal,488,80,115,80,65,55,93
521,Unfezant,Flying,488,80,115,80,65,55,93
522,Blitzle,Electric,295,45,60,32,50,32,76
523,Zebstrika,Electric,497,75,100,63,80,63,116
524,Roggenrola,Rock,280,55,75,85,25,25,15
525,Boldore,Rock,390,70,105,105,50,40,20
526,Gigalith,Rock,515,85,135,130,60,80,25
527,Woobat,Psychic,323,65,45,43,55,43,72
527,Woobat,Flying,323,65,45,43,55,43,72
528,Swoobat,Psychic,425,67,57,55,77,55,114
528,Swoobat,Flying,425,67,57,55,77,55,114
529,Drilbur,Ground,328,60,85,40,30,45,68
530,Excadrill,Ground,508,110,135,60,50,65,88
530,Excadrill,Steel,508,110,135,60,50,65,88
531,Audino,Normal,445,103,60,86,60,86,50
531,AudinoMega Audino,Normal,545,103,60,126,80,126,50
531,AudinoMega Audino,Fairy,545,103,60,126,80,126,50
532,Timburr,Fighting,305,75,80,55,25,35,35
533,Gurdurr,Fighting,405,85,105,85,40,50,40
534,Conkeldurr,Fighting,505,105,140,95,55,65,45
535,Tympole,Water,294,50,50,40,50,40,64
536,Palpitoad,Water,384,75,65,55,65,55,69
536,Palpitoad,Ground,384,75,65,55,65,55,69
537,Seismitoad,Water,509,105,95,75,85,75,74
537,Seismitoad,Ground,509,105,95,75,85,75,74
538,Throh,Fighting,465,120,100,85,30,85,45
539,Sawk,Fighting,465,75,125,75,30,75,85
540,Sewaddle,Bug,310,45,53,70,40,60,42
540,Sewaddle,Grass,310,45,53,70,40,60,42
541,Swadloon,Bug,380,55,63,90,50,80,42
541,Swadloon,Grass,380,55,63,90,50,80,42
542,Leavanny,Bug,500,75,103,80,70,80,92
542,Leavanny,Grass,500,75,103,80,70,80,92
543,Venipede,Bug,260,30,45,59,30,39,57
543,Venipede,Poison,260,30,45,59,30,39,57
544,Whirlipede,Bug,360,40,55,99,40,79,47
544,Whirlipede,Poison,360,40,55,99,40,79,47
545,Scolipede,Bug,485,60,100,89,55,69,112
545,Scolipede,Poison,485,60,100,89,55,69,112
546,Cottonee,Grass,280,40,27,60,37,50,66
546,Cottonee,Fairy,280,40,27,60,37,50,66
547,Whimsicott,Grass,480,60,67,85,77,75,116
547,Whimsicott,Fairy,480,60,67,85,77,75,116
548,Petilil,Grass,280,45,35,50,70,50,30
549,Lilligant,Grass,480,70,60,75,110,75,90
550,BasculinRed-Striped Form,Water,460,70,92,65,80,55,98
